condition,lux,iso,shutter_us,speed_kmh,frame,bew_h,bew_v
40000lx_1600_025us_80,40000,1600,25,80,09.png,0.9949,1.1519
40000lx_1600_025us_80,40000,1600,25,80,10.png,1.0009,1.1392
40000lx_1600_025us_90,40000,1600,25,90,01.png,0.9900,1.1165
40000lx_1600_025us_90,40000,1600,25,90,02.png,0.9801,1.1166
40000lx_1600_025us_90,40000,1600,25,90,03.png,0.9987,1.1224
40000lx_1600_025us_90,40000,1600,25,90,04.png,0.9868,1.1166
40000lx_1600_025us_90,40000,1600,25,90,05.png,0.9990,1.1187
40000lx_1600_025us_90,40000,1600,25,90,06.png,0.9939,1.1347
40000lx_1600_025us_90,40000,1600,25,90,07.png,0.9904,1.1299
40000lx_1600_025us_90,40000,1600,25,90,08.png,0.9795,1.1082
40000lx_1600_025us_90,40000,1600,25,90,09.png,0.9862,1.1081
40000lx_1600_025us_90,40000,1600,25,90,10.png,0.9944,1.1357
40000lx_1600_050us_00,40000,1600,50,0,01.png,1.0844,1.2605
40000lx_1600_050us_00,40000,1600,50,0,02.png,1.0965,1.2788
40000lx_1600_050us_00,40000,1600,50,0,03.png,1.1024,1.2634
40000lx_1600_050us_00,40000,1600,50,0,04.png,1.0899,1.2637
40000lx_1600_050us_00,40000,1600,50,0,05.png,1.1007,1.2624
40000lx_1600_050us_00,40000,1600,50,0,06.png,1.0889,1.2493
40000lx_1600_050us_00,40000,1600,50,0,07.png,1.0966,1.2733
40000lx_1600_050us_00,40000,1600,50,0,08.png,1.0884,1.2767
40000lx_1600_050us_00,40000,1600,50,0,09.png,1.0997,1.2684
40000lx_1600_050us_00,40000,1600,50,0,10.png,1.1030,1.2567
40000lx_1600_050us_10,40000,1600,50,10,01.png,1.1148,1.2516
40000lx_1600_050us_10,40000,1600,50,10,02.png,1.1056,1.2461
40000lx_1600_050us_10,40000,1600,50,10,03.png,1.1193,1.2546
40000lx_1600_050us_10,40000,1600,50,10,04.png,1.1051,1.2469
40000lx_1600_050us_10,40000,1600,50,10,05.png,1.1114,1.2542
40000lx_1600_050us_10,40000,1600,50,10,06.png,1.0960,1.2568
40000lx_1600_050us_10,40000,1600,50,10,07.png,1.1041,1.2554
40000lx_1600_050us_10,40000,1600,50,10,08.png,1.0970,1.2480
40000lx_1600_050us_10,40000,1600,50,10,09.png,1.0976,1.2670
40000lx_1600_050us_10,40000,1600,50,10,10.png,1.1078,1.2478
40000lx_1600_050us_30,40000,1600,50,30,01.png,1.1395,1.2769
40000lx_1600_050us_30,40000,1600,50,30,02.png,1.1392,1.2762
40000lx_1600_050us_30,40000,1600,50,30,03.png,1.1505,1.2735
40000lx_1600_050us_30,40000,1600,50,30,04.png,1.1246,1.2670
40000lx_1600_050us_30,40000,1600,50,30,05.png,1.1513,1.2577
40000lx_1600_050us_30,40000,1600,50,30,06.png,1.1386,1.2735
40000lx_1600_050us_30,40000,1600,50,30,07.png,1.1515,1.2670
40000lx_1600_050us_30,40000,1600,50,30,08.png,1.1374,1.2687
40000lx_1600_050us_30,40000,1600,50,30,09.png,1.1375,1.2597
40000lx_1600_050us_30,40000,1600,50,30,10.png,1.1413,1.2694
40000lx_1600_050us_50,40000,1600,50,50,01.png,1.2327,1.3003
40000lx_1600_050us_50,40000,1600,50,50,02.png,1.1905,1.3026
